"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Jul-2025","EQ","283.89","283.89","281.30","282.26","282.05","282.07","282.25","293.99","231.30","32,89,296","92,83,92,654.73","31,877"
"21-Jul-2025","EQ","282.79","282.79","280.35","281.43","282.50","282.26","281.90","293.99","231.30","39,13,052","1,10,31,08,868.09","51,517"
"18-Jul-2025","EQ","283.50","283.69","281.00","282.83","281.66","281.43","281.59","293.99","231.30","44,85,164","1,26,29,63,801.14","59,105"
"17-Jul-2025","EQ","284.99","284.99","282.61","283.64","282.94","282.83","283.30","293.99","231.30","38,32,375","1,08,57,25,235.19","32,505"
"16-Jul-2025","EQ","283.80","284.39","282.80","283.69","283.65","283.64","283.38","293.99","231.30","30,91,019","87,59,44,894.19","30,870"
"15-Jul-2025","EQ","283.49","284.38","282.10","282.71","284.00","283.69","283.56","293.99","231.30","55,81,909","1,58,28,07,332.49","36,546"
"14-Jul-2025","EQ","284.39","284.39","281.69","283.11","282.90","282.71","282.35","293.99","231.30","38,84,074","1,09,66,83,657.64","56,549"
"11-Jul-2025","EQ","285.39","285.39","282.50","285.16","283.30","283.11","283.65","293.99","231.30","53,35,789","1,51,34,93,471.56","65,841"
"10-Jul-2025","EQ","285.30","287.69","285.00","286.50","285.32","285.16","285.49","293.99","231.30","45,43,938","1,29,72,41,436.31","53,618"
"09-Jul-2025","EQ","286.11","287.69","286.00","286.91","286.45","286.50","286.80","293.99","231.30","20,84,278","59,77,62,892.43","34,600"
"08-Jul-2025","EQ","285.90","287.19","285.30","286.07","287.16","286.91","286.42","293.99","231.30","27,20,142","77,90,98,677.13","33,979"
"07-Jul-2025","EQ","287.79","287.79","284.01","286.11","286.22","286.07","286.05","293.99","231.30","51,91,711","1,48,50,88,187.65","61,133"
"04-Jul-2025","EQ","287.89","287.89","283.01","285.39","286.45","286.11","285.52","293.99","231.30","44,68,132","1,27,57,59,680.38","72,948"
"03-Jul-2025","EQ","286.89","287.26","285.16","285.78","285.78","285.39","286.42","293.99","231.30","98,06,621","2,80,88,51,232.64","37,704"
"02-Jul-2025","EQ","287.89","287.89","285.20","286.84","285.89","285.78","286.22","293.99","231.30","56,69,639","1,62,27,59,615.66","46,004"
"01-Jul-2025","EQ","287.88","287.89","286.31","286.51","286.89","286.84","286.90","293.99","231.30","53,55,172","1,53,64,22,713.73","43,275"
"30-Jun-2025","EQ","287.80","289.39","286.11","287.96","286.50","286.51","287.12","293.99","231.30","79,28,260","2,27,63,91,747.52","65,020"
"27-Jun-2025","EQ","287.00","288.28","286.44","286.39","288.00","287.96","287.62","293.99","231.30","51,39,824","1,47,83,00,609.64","36,396"
"26-Jun-2025","EQ","283.40","286.58","282.11","283.41","286.40","286.39","285.28","293.99","231.30","1,02,12,702","2,91,34,55,285.35","47,378"
"25-Jun-2025","EQ","282.00","283.78","281.71","281.43","283.40","283.41","283.13","293.99","231.30","33,46,093","94,73,71,764.92","34,446"
"24-Jun-2025","EQ","283.90","284.24","281.17","280.86","281.78","281.43","282.79","293.99","231.30","1,02,19,161","2,88,98,55,438.99","47,105"
"23-Jun-2025","EQ","280.90","281.53","278.50","281.50","280.95","280.86","280.18","293.99","231.30","89,63,571","2,51,14,33,605.49","56,958"
"20-Jun-2025","EQ","276.51","281.80","276.49","277.91","281.50","281.50","280.67","293.99","231.30","1,13,99,466","3,19,94,88,472.82","38,308"
"19-Jun-2025","EQ","278.50","279.89","271.28","278.24","277.82","277.91","278.14","293.99","231.30","43,30,677","1,20,45,40,640.80","31,327"
"18-Jun-2025","EQ","279.89","279.89","277.38","278.59","278.32","278.24","278.55","293.99","231.30","32,00,952","89,16,25,934.89","28,557"
"17-Jun-2025","EQ","281.49","281.49","278.21","279.70","278.55","278.59","278.74","293.99","231.30","71,13,968","1,98,29,73,476.62","39,523"
"16-Jun-2025","EQ","279.39","279.97","276.01","277.10","279.50","279.70","278.69","293.99","231.30","52,87,546","1,47,36,05,181.99","53,899"
"13-Jun-2025","EQ","276.00","277.50","274.08","278.95","277.28","277.10","276.57","293.99","231.30","64,91,577","1,79,53,80,228.69","67,544"
"12-Jun-2025","EQ","282.00","282.75","278.43","281.87","278.90","278.95","279.78","293.99","231.30","76,46,410","2,13,92,82,873.52","63,407"
"11-Jun-2025","EQ","281.75","282.80","280.50","281.39","281.76","281.87","282.15","293.99","231.30","52,46,351","1,48,02,56,385.59","35,002"
"10-Jun-2025","EQ","282.20","282.80","281.00","281.35","281.25","281.39","281.67","293.99","231.30","45,57,302","1,28,36,65,665.82","41,524"
"09-Jun-2025","EQ","281.05","282.89","281.05","280.50","281.35","281.35","281.49","293.99","231.30","42,88,088","1,20,70,65,386.23","53,535"
"06-Jun-2025","EQ","278.90","280.85","277.00","278.05","280.45","280.50","279.52","293.99","231.30","1,19,45,116","3,33,89,36,515.11","50,831"
"05-Jun-2025","EQ","277.90","279.34","276.37","276.46","277.97","278.05","277.95","293.99","231.30","72,73,297","2,02,16,42,478.35","41,518"
"04-Jun-2025","EQ","276.50","276.89","275.15","275.77","276.58","276.46","276.31","293.99","231.30","27,85,742","76,97,39,743.20","31,476"
"03-Jun-2025","EQ","278.00","278.60","275.41","277.60","275.75","275.77","276.51","293.99","231.30","75,75,648","2,09,47,66,030.83","69,906"
"02-Jun-2025","EQ","276.00","278.38","275.00","277.97","277.52","277.60","276.68","293.99","231.30","57,33,152","1,58,62,43,277.85","77,354"
"30-May-2025","EQ","279.89","279.89","277.71","278.54","278.00","277.97","278.30","293.99","231.30","35,21,102","97,99,11,157.92","35,179"
"29-May-2025","EQ","278.78","279.09","277.02","277.69","279.04","278.54","278.09","293.99","231.30","46,32,027","1,28,81,18,816.64","32,609"
"28-May-2025","EQ","278.00","279.99","277.12","278.25","277.75","277.69","277.73","293.99","231.30","49,66,659","1,37,93,91,939.29","38,301"
"27-May-2025","EQ","279.89","280.89","276.90","279.89","278.30","278.25","278.35","293.99","231.30","1,02,51,014","2,85,33,26,173.16","72,684"
